USDMXN.X.Open,USDMXN.X.High,USDMXN.X.Low,USDMXN.X.Close,USDMXN.X.Volume,USDMXN.X.Adjusted
10.904,10.904,10.819,10.8405,0,10.8405
10.82,10.855,10.794,10.8154,0,10.8154
10.83,10.83,10.779,10.793,0,10.793
10.796,10.83305,10.785,10.7964,0,10.7964
10.7961,10.8829,10.769,10.8799,0,10.8799
10.8804,10.8825,10.783,10.817,0,10.817
10.811,10.854,10.802,10.823,0,10.823
10.825,10.8517,10.792,10.817,0,10.817
10.807,10.8736,10.805,10.8594,0,10.8594
10.8499,10.8655,10.816,10.8389,0,10.8389
10.8384,10.8703,10.81,10.8294,0,10.8294
10.8299,10.8535,10.797,10.8194,0,10.8194
10.8207,10.837,10.785,10.818,0,10.818
10.8127,10.8198,10.779,10.8052,0,10.8052
10.79,10.818,10.79,10.8,0,10.8
10.797,10.877,10.785,10.811,0,10.811
10.797,10.884,10.797,10.8721,0,10.8721
10.8777,10.9067,10.845,10.893,0,10.893
10.9097,10.9205,10.876,10.893,0,10.893
10.884,10.894,10.877,10.877,0,10.877
10.8908,10.919,10.846,10.8995,0,10.8995
10.886,10.9271,10.84,10.8701,0,10.8701
10.879,10.93798,10.859,10.924,0,10.924
10.9151,10.935,10.872,10.8916,0,10.8916
10.8871,10.933,10.848,10.9267,0,10.9267
10.9261,10.977,10.888,10.923400000000001,0,10.923400000000001
10.9229,10.9681,10.898,10.9267,0,10.9267
10.9257,10.9548,10.893,10.918,0,10.918
10.9239,10.9409,10.876,10.881,0,10.881
10.882,10.9485,10.881,10.9349,0,10.9349
10.9339,10.9679,10.901,10.9272,0,10.9272
10.931,10.9525,10.905,10.937,0,10.937
10.927,10.943,10.871,10.879,0,10.879
10.898,11.0113,10.89,10.9857,0,10.9857
10.9831,11.01,10.911,10.925,0,10.925
10.922,10.9673,10.891,10.893,0,10.893
10.9082,10.9169,10.86,10.862,0,10.862
10.8762,10.9005,10.834,10.866,0,10.866
10.8766,10.91,10.839,10.863,0,10.863
10.842,10.8677,10.814,10.841,0,10.841
10.8372,10.854,10.8,10.8365,0,10.8365
10.835,10.847,10.791,10.8126,0,10.8126
10.8192,10.825,10.773,10.779,0,10.779
10.778,10.806,10.763,10.7897,0,10.7897
10.7828,10.8444,10.769,10.8329,0,10.8329
10.8334,10.8452,10.791,10.8064,0,10.8064
10.793,10.8385,10.74,10.79,0,10.79
10.7599,10.79,10.723,10.755,0,10.755
10.7431,10.7773,10.728,10.7595,0,10.7595
10.738,10.7774,10.717,10.7495,0,10.7495
10.7595,10.7634,10.716,10.7332,0,10.7332
10.7329,10.7606,10.708,10.735,0,10.735
10.737,10.768,10.726,10.753,0,10.753
10.732,10.76,10.707,10.7333,0,10.7333
10.711,10.7705,10.704,10.7619,0,10.7619
10.762,10.8,10.741,10.7756,0,10.7756
10.7775,10.78,10.743,10.78,0,10.78
10.7936,10.807,10.745,10.771,0,10.771
10.747,10.7974,10.734,10.7695,0,10.7695
