GC.F.Open,GC.F.High,GC.F.Low,GC.F.Close,GC.F.Volume,GC.F.Adjusted
1003.599976,1010,978.200012,1003.200012,30,1003.200012
979.299988,979.299988,938.400024,944.700012,84,944.700012
939.900024,943.200012,917.700012,919.599976,34,919.599976
915.5,922,915.200012,918.299988,71,918.299988
931.5,933.900024,927.200012,934.599976,102,934.599976
949.599976,949.599976,949.599976,949,1,949
947.400024,951.700012,945.700012,948.799988,145634,948.799988
947.5,951.099976,921.799988,930.599976,64013,930.599976
931,940.099976,912,916.200012,5980,916.200012
915,919.799988,871.799988,882.900024,3204,882.900024
884,906.5,881.200012,895.200012,2367,895.200012
901.200012,907.5,889.599976,905,984,905
904.700012,914.900024,898.799988,909,279,909
915.299988,927.200012,912.299988,922.700012,2086,922.700012
924.200012,925.299988,909.299988,914,405,914
916,935.5,904.099976,933.599976,390,933.599976
931.299988,939.200012,922.400024,928.299988,409,928.299988
919.599976,931.200012,919.599976,923.599976,141,923.599976
917,929.400024,915.599976,925.400024,153,925.400024
924.299988,936,924.299988,928.700012,168,928.700012
927.200012,948.700012,927.200012,945.099976,161,945.099976
927.200012,947.900024,938.700012,939.799988,209,939.799988
936,936,907.200012,912.200012,145,912.200012
922.5,924.599976,914.099976,914.700012,449,914.700012
920.599976,922.799988,916.200012,922.299988,625,922.299988
916.799988,921.5,898.799988,906.200012,111,906.200012
902.400024,904.799988,885.099976,886.799988,80,886.799988
878.200012,893.599976,878.099976,887.200012,77,887.200012
887,893.799988,887,892.900024,339,892.900024
890.599976,890.599976,869.599976,874.200012,136,874.200012
868.700012,875.200012,863,862.799988,88,862.799988
855,873.5,849.599976,848.900024,28,848.900024
853.299988,857.700012,853.299988,856.099976,6,856.099976
861.200012,872.799988,861.200012,872.299988,35,872.299988
872.299988,881.400024,872.299988,876,47,876
868,869.400024,864.799988,869.599976,43,869.599976
871,883.299988,867.099976,880.599976,71,880.599976
883.900024,884.700012,883.900024,884.5,25,884.5
879.200012,886.5,879.200012,883.700012,56,883.700012
862.900024,870.400024,862.900024,868.5,17,868.5
862.799988,868.599976,862.799988,865.400024,41,865.400024
865.799988,886.299988,865.799988,879,121,879
892,904.200012,892,899,85,899
905,905,905,905,2,905
919.5,919.5,919.5,919.5,2,919.5
923.5,924,923.200012,928,3,928
917.599976,917.599976,917.599976,917.900024,1,917.900024
916.900024,925.599976,916,925.599976,1,925.599976
912,912,906.5,907.700012,25,907.700012
900.5,900.5,900.5,900.5,149889,900.5
903,903.200012,872.099976,877.200012,64624,877.200012
880.200012,888.5,868.599976,887.299988,6671,887.299988
887.299988,898,881.799988,892.900024,2132,892.900024
889.799988,896.099976,874.599976,881.599976,2079,881.599976
879.5,886.099976,876,879.900024,612,879.900024
876.099976,878.799988,865.400024,871.799988,340,871.799988
878.5,901,877.700012,895.400024,230,895.400024
900.700012,908.900024,890.5,894.700012,1930,894.700012
886.599976,886.599976,866,867.900024,457,867.900024
869.5,882,869.5,879.700012,146,879.700012
873.599976,873.599976,858.200012,869.200012,135,869.200012
870.299988,870.299988,860.5,870.299988,361,870.299988
872.5,893,871.299988,883.599976,70,883.599976
883.400024,887,876.299988,884.299988,62,884.299988
888,891.900024,885.099976,890.900024,135,890.900024
888.599976,906.5,888.599976,901.700012,44,901.700012
903.799988,907.299988,901,901.299988,21,901.299988
903.400024,903.400024,879.200012,884.799988,54,884.799988
889.599976,891.200012,885.5,889.200012,64,889.200012
883.599976,883.799988,876.400024,880,97,880
909.599976,912.599976,909.599976,913.099976,182,913.099976
913.099976,927.599976,910.700012,929.299988,167,929.299988
927.700012,933.700012,922.299988,926.200012,144,926.200012
943.599976,945.799988,938,942.5,32,942.5
