EURJPY.X.Open,EURJPY.X.High,EURJPY.X.Low,EURJPY.X.Close,EURJPY.X.Volume,EURJPY.X.Adjusted
158.102997,159.389999,157.25,157.509995,0,157.509995
157.492004,158.699997,156.722,157.929993,0,157.929993
158.035004,158.841003,157.25,157.619995,0,157.619995
157.740005,158.679993,157.720001,158.179993,0,158.179993
158.190002,158.5,155.800003,155.889999,0,155.889999
155.910004,156.429993,155.220001,155.479996,0,155.479996
155.460007,156.100006,154.136993,155.350006,0,155.350006
155.300003,156.080002,155.130005,155.610001,0,155.610001
156.110001,156.25,154.350006,154.960007,0,154.960007
154.919998,156.960007,154.880005,156.490005,0,156.490005
156.490005,157.860001,155.779999,157.580002,0,157.580002
157.580002,158.460007,157.330002,157.850006,0,157.850006
157.830002,158.809998,157.580002,157.970001,0,157.970001
158.160004,158.699997,158.080002,158.470001,0,158.470001
158.445007,159.020004,157.949997,158.960007,0,158.960007
158.975006,159.25,157.830002,159.039993,0,159.039993
159.029999,159.479996,158.789993,159.130005,0,159.130005
159.110001,159.259995,158.225006,158.889999,0,158.889999
159.179993,160.360001,158.889999,160.240005,0,160.240005
160.270004,161.259995,159.630005,161.009995,0,161.009995
160.979996,161.130005,159.860001,160.820007,0,160.820007
160.830002,160.919998,159.229996,159.399994,0,159.399994
159.369995,159.410004,157.229996,157.619995,0,157.619995
156.649994,157.639999,155.899994,157.339996,0,157.339996
157.339996,157.354996,156.160004,157.225006,0,157.225006
157.220001,159.149994,157,158.770004,0,158.770004
158.75,158.880005,157.669998,157.800003,0,157.800003
157.800003,158.25,156.709,157.479996,0,157.479996
157.440002,157.559998,155.619995,155.600006,0,155.600006
155.580002,158.789993,155.580002,158.399994,0,158.399994
158.399994,159.100006,157.339996,157.729996,0,157.729996
157.699997,157.940002,155.600006,157.289993,0,157.289993
157.330002,157.550003,154.550003,154.639999,0,154.639999
154.570007,154.600006,151.869995,152.820007,0,152.820007
152.820007,156.949997,152.600006,156.300003,0,156.300003
156.259995,156.589996,154.089996,154.240005,0,154.240005
154.25,155.100006,151.830002,153.360001,0,153.360001
153.363007,156.279999,153.149994,156.279999,0,156.279999
153.470001,155.559998,153.089996,155.520004,0,155.520004
155.479996,156.679993,155.300003,156.220001,0,156.220001
156.190002,157.369995,155.669998,156.860001,0,156.860001
156.820007,157.979996,155.899994,157.380005,0,157.380005
157.360001,158.309998,156.179993,156.190002,0,156.190002
156.240005,158.039993,156.229996,157.330002,0,157.330002
NA,NA,NA,NA,NA,NA
158.729996,160.720001,158.509995,160.350006,0,160.350006
160.399994,161.029999,159.339996,160.220001,0,160.220001
160.229996,161.059998,159.570007,159.729996,0,159.729996
159.820007,161.429993,159.729996,160.889999,0,160.889999
160.839996,161.610001,160.470001,161.300003,0,161.300003
161.309998,161.440002,160.610001,161.100006,0,161.100006
161.080002,161.149994,158.899994,160.669998,0,160.669998
160.699997,161.279999,159.220001,159.899994,0,159.899994
159.149994,160.229996,158.229996,160.080002,0,160.080002
160.080002,160.929993,159.699997,160.720001,0,160.720001
160.720001,162.479996,160.429993,162.399994,0,162.399994
162.429993,163.220001,162.179993,162.940002,0,162.940002
162.949997,164.649994,162.669998,163.070007,0,163.070007
164.322998,164.785004,163.917999,164.350006,0,164.350006
164.371002,164.910004,163.289993,164.460007,0,164.460007
164.444,164.929993,163.889999,164.229996,0,164.229996
164.231995,164.460007,162.901993,163.490005,0,163.490005
163.470001,163.729996,162.729996,163.220001,0,163.220001
162.955002,163.830002,162.830002,163.080002,0,163.080002
163.050003,163.199997,161.130005,161.690002,0,161.690002
161.839996,162.940002,161.619995,162.348999,0,162.348999
NA,NA,NA,NA,NA,NA
161.559998,162.589996,161.440002,162.490005,0,162.490005
162.490005,163.082993,162.270004,162.572998,0,162.572998
162.570007,162.751999,162.029999,162.619995,0,162.619995
162.679993,162.990005,160.970001,161.149994,0,161.149994
161.119995,161.259995,159.113007,159.960007,0,159.960007
159.964996,160.011993,158.669998,159.220001,0,159.220001
158.990005,161.505005,158.630005,161.220001,0,161.220001
161.169998,162.309998,160.160004,161.880997,0,161.880997
161.912003,162.869995,161.710007,162.496994,0,162.496994
162.509995,162.919998,161.559998,161.899994,0,161.899994
161.919998,162.449997,161.259995,162.199997,0,162.199997
162.240005,162.496994,161.572998,162.085999,0,162.085999
162.100006,162.970001,161.460007,162.089996,0,162.089996
162.084,163.112,161.600006,162.656006,0,162.656006
162.679993,163.839996,162.220001,163.649994,0,163.649994
163.647995,163.839996,162.703003,162.860001,0,162.860001
162.919998,163.283997,162.729996,163.089996,0,163.089996
163.059998,163.875,163.009995,163.5,0,163.5
163.479996,164.360001,163.119995,163.830002,0,163.830002
163.832001,164.179993,163.300003,163.626999,0,163.626999
163.619995,164.220001,163.119995,163.949997,0,163.949997
164.039993,164.110001,162.100006,162.384003,0,162.384003
162.410004,163.199997,161.820007,162.432999,0,162.432999
162.393997,162.585999,161.746002,162.391006,0,162.391006
162.369995,165.231003,162.240005,165.108994,0,165.108994
165.100006,166.123993,165.009995,165.559998,0,165.559998
165.199997,167.125,165.199997,166.339996,0,166.339996
166.339996,166.563004,165.537994,165.962006,0,165.962006
165.960007,166.919998,165.610001,166.343002,0,166.343002
166.320007,166.884995,165.660004,166.639999,0,166.639999
166.610001,166.800003,165.669998,166.190002,0,166.190002
166.557007,167.606003,166.440002,167.339005,0,167.339005
167.334,167.759995,167.100006,167.5,0,167.5
167.509995,167.992996,167.080002,167.548996,0,167.548996
167.544998,167.740005,166.770004,167.339996,0,167.339996
167.352005,168.052002,167.199997,167.830002,0,167.830002
167.542007,167.725998,166.899994,167.388,0,167.388
167.393005,168.330002,167.339996,167.794006,0,167.794006
167.759995,169.110001,167.610001,168.929993,0,168.929993
168.944,169.429993,167.990005,168.442993,0,168.442993
168.481995,168.570007,167.020004,167.139999,0,167.139999
167.820007,168.070007,166.160004,167.119995,0,167.119995
NA,NA,NA,NA,NA,NA
167.399994,168.600006,167.330002,168.214996,0,168.214996
168.110001,169.059998,167.360001,167.539993,0,167.539993
167.550003,167.987,167.169998,167.639999,0,167.639999
167.612,168.587997,167.149994,168.429993,0,168.429993
168.429993,168.479004,167.240005,168.270004,0,168.270004
168.289993,168.869995,167.949997,168.143997,0,168.143997
168.100006,169.100006,167.820007,169.013,0,169.013
169.020004,169.593002,168.210007,169.369995,0,169.369995
169.360001,169.630005,168.75,168.772995,0,168.772995
168.759995,168.809998,166.429993,166.630005,0,166.630005
166.630005,166.839005,165.350006,166.397003,0,166.397003
166.380005,169.033997,166.039993,168.330002,0,168.330002
168.360001,169.580002,168.227005,169.550003,0,169.550003
169.279999,169.850998,169.095993,169.440002,0,169.440002
169.453995,169.692993,169.065994,169.313004,0,169.313004
169.309998,169.938995,169.119995,169.300003,0,169.300003
169.309998,169.330994,167.899994,168.479996,0,168.479996
168.470001,169.460007,167.537994,169.020004,0,169.020004
169.259995,169.690994,169.020004,169.149994,0,169.149994
169.132996,169.449997,168.289993,168.5,0,168.5
168.5,168.542007,167.949997,168.380005,0,168.380005
168.380005,169.160004,168.097,168.110001,0,168.110001
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
160.615997,161.212997,160.009995,160.520004,0,160.520004
160.544998,161.479996,160.080002,161.276993,0,161.276993
161.309998,161.970001,160.770004,160.964996,0,160.964996
160.970001,161.070007,159.231995,159.429993,0,159.429993
159.320007,159.559998,157.160004,157.529999,0,157.529999
157.507004,158.399994,156.990005,157.720001,0,157.720001
157.660004,157.985001,156.259995,156.917999,0,156.917999
156.919998,157.639008,150.699997,152.179993,0,152.179993
152.210007,153.860001,150.729996,153.679993,0,153.679993
155.600006,156.910004,151.710007,152.979996,0,152.979996
152.945999,153.445999,150.544006,151.770004,0,151.770004
151.705002,152.320007,150.300003,150.600006,0,150.600006
150.615005,150.720001,147.559998,149.710007,0,149.710007
149.830002,153.699997,149.600006,153.699997,0,153.699997
152.080002,152.800003,148.570007,148.710007,0,148.710007
148.720001,150.449997,147.052002,149.112,0,149.112
149.130997,151.472,147.580002,149.460007,0,149.460007
149.449997,151.964005,149.130005,150.820007,0,150.820007
150.910004,155.520004,150.860001,154.869995,0,154.869995
154.410004,156.770004,153.919998,156.147995,0,156.147995
156.149994,156.25,154.470001,155.268005,0,155.268005
155.287994,156.100006,154.539993,155.220001,0,155.220001
155.207993,156.270004,155.139008,155.660004,0,155.660004
155.682999,155.75,153.490005,154.820007,0,154.820007
154.559998,155.044998,148.959,149.470001,0,149.470001
149.457993,151.274002,148.800003,149.522003,0,149.522003
149.539993,150.447998,147.619995,148.509003,0,148.509003
148.479996,148.660004,144.912003,145.235001,0,145.235001
145.220001,146.759995,144.149994,145.130005,0,145.130005
143.371994,143.451996,135.139999,137.666,0,137.666
137.705994,140.841995,136.669998,137.845993,0,137.845993
137.841003,138.630005,134.330002,135.634003,0,135.634003
135.630005,139.630005,135.123993,135.279999,0,135.279999
135.276993,136.220993,132.317001,134.789993,0,134.789993
137.100006,139.179993,134.229996,139.335999,0,139.335999
139.360001,141.559998,138.563004,138.804993,0,138.804993
138.830002,138.850006,133.529999,134.072006,0,134.072006
134.039001,137.167007,133.470001,136.617996,0,136.617996
136.617004,137.376999,134.839996,136.419998,0,136.419998
135.919998,138.380005,134.960007,135.710007,0,135.710007
135.75,136.279999,130.610001,130.940002,0,130.940002
131.020004,131.240005,124.653,125.398003,0,125.398003
125.400002,127.205002,123.239998,126.169998,0,126.169998
126.185997,126.550003,113.769997,119.050003,0,119.050003
118.529999,119.290001,113.815002,116.190002,0,116.190002
116.260002,127.077003,114.528999,125.800003,0,125.800003
125.830002,126.900002,121.419998,126.370003,0,126.370003
126.405998,130.908997,125.056999,127.134003,0,127.134003
127.150002,127.150002,122.300003,125.010002,0,125.010002
125.82,128.389999,124.603996,124.879997,0,124.879997
124.860001,130.843994,123.440002,129.5,0,129.5
129.449997,130.050003,126.150002,126.839996,0,126.839996
126.839996,127.014999,123.360001,123.449997,0,123.449997
123.502998,126.199997,122.459999,124.809998,0,124.809998
126.870003,128.380005,124.230003,124.880997,0,124.880997
124.879997,125.447998,121.308998,121.720001,0,121.720001
121.764999,123.764999,117.699997,118.120003,0,118.120003
118.150002,125.860001,118.150002,124.739998,0,124.739998
124.788002,125,121.699997,122.220001,0,122.220001
120.538002,123.82,120.339996,121.879997,0,121.879997
121.889999,123.510002,121.047997,122.257004,0,122.257004
122.169998,124.000999,119.235001,120.054001,0,120.054001
119.995003,120.966003,116.449997,116.959999,0,116.959999
