CL.F.Open,CL.F.High,CL.F.Low,CL.F.Close,CL.F.Volume,CL.F.Adjusted
104.639999,105.970001,102.849998,105.470001,337767,105.470001
105.580002,106.540001,103.910004,105.150002,321205,105.150002
105.25,108.209999,104.080002,107.900002,340551,107.900002
107.910004,109.720001,106.610001,108.75,349815,108.75
108.650002,110.199997,107.089996,109.919998,342575,109.919998
110.059998,110.980003,108.760002,110.330002,327857,110.330002
110.239998,110.919998,108.839996,110.209999,293217,110.209999
110.099998,111.800003,103.230003,105.68,336081,105.68
106.150002,109.800003,105.68,109.419998,187052,109.419998
108.800003,108.980003,102.949997,104.480003,386956,104.480003
102.099998,102.690002,98.650002,101.839996,332794,101.839996
101.699997,102.419998,99.949997,100.860001,190177,100.860001
100.43,101.860001,99.129997,101.220001,303743,101.220001
101.550003,106.360001,101.43,105.900002,330867,105.900002
106,108.220001,105.029999,107.580002,311980,107.580002
107.190002,107.629997,104.709999,105.620003,261687,105.620003
105.120003,106.779999,100.25,101.580002,332269,101.580002
101.57,102.550003,99.550003,100.980003,299407,100.980003
100.830002,105.099998,99.839996,104.830002,295756,104.830002
104.529999,106.440002,103.209999,103.830002,322592,103.830002
104.260002,106.379997,104.029999,106.230003,231012,106.230003
106.120003,109.480003,105.860001,109.089996,278967,109.089996
108.879997,109.639999,107.639999,108.5,307800,108.5
108.75,112.209999,107.949997,110.870003,326218,110.870003
110.699997,112.199997,108.75,110.110001,312662,110.110001
110.059998,110.82,108.919998,110.139999,240810,110.139999
110,111.989998,109.559998,111.760002,199908,111.760002
111.800003,114.080002,111.800003,113.790001,222349,113.790001
113.849998,115.139999,112.190002,114.93,297359,114.93
115,115.540001,114.139999,114.860001,227415,114.860001
113.449997,116.970001,112.720001,116.690002,206377,116.690002
116.93,117.830002,115.68,117.480003,134017,117.480003
117.5,119.900002,117.349998,119.370003,281258,119.370003
118.330002,118.559998,116.449997,118.300003,243832,118.300003
117.93,118.300003,114.25,116.059998,319982,116.059998
115.949997,119.550003,114.510002,118.519997,288727,118.519997
118.949997,119.93,118.160004,118.75,201651,118.75
118.839996,118.839996,114.970001,115.629997,303543,115.629997
115.360001,116.699997,113.300003,113.459999,313044,113.459999
114.599998,115.230003,110.300003,112.519997,291258,112.519997
112.25,116.800003,111.779999,116.32,287460,116.32
116.5,120.360001,116.050003,119.970001,265273,119.970001
119.900002,122.730003,119.330002,121.839996,331913,121.839996
121.760002,123.93,120.540001,123.529999,366207,123.529999
123.809998,124.610001,121.580002,123.690002,387993,123.690002
125.309998,126.269997,124.080002,125.959999,338771,125.959999
125.839996,126.400002,123.699997,124.230003,347942,124.230003
123.760002,126.980003,123.099998,125.800003,375770,125.800003
125.970001,126.040001,123.769997,124.220001,313213,124.220001
123.830002,126.639999,120.75,124.120003,411677,124.120003
124.400002,127.82,124.040001,126.290001,269765,126.290001
126.349998,127.769997,125.279999,127.050003,213089,127.050003
127.489998,129.600006,126.669998,129.070007,315556,129.070007
129.100006,134.149994,128.600006,133.169998,362022,133.169998
133.889999,135.089996,130.070007,130.809998,425099,130.809998
130.75,133.710007,130.160004,132.190002,321344,132.190002
131.679993,133.649994,128.179993,128.850006,326598,128.850006
128.300003,131.580002,125.959999,131.029999,369868,131.029999
130.75,133.119995,126.110001,126.620003,424268,126.620003
126.589996,128.300003,124.669998,127.349998,309342,127.349998
127.629997,129.350006,125.220001,127.760002,304809,127.760002
127.5,127.980003,123.870003,124.309998,301116,124.309998
124.230003,125.080002,121.839996,122.300003,335547,122.300003
122.230003,128.380005,121.610001,127.790001,333372,127.790001
128.199997,139.119995,127.809998,138.539993,508749,138.539993
137.970001,138.25,133,134.350006,348554,134.350006
135.020004,137.979996,130.800003,131.309998,394361,131.309998
131.789993,138.300003,131.350006,136.380005,374434,136.380005
136.539993,137.460007,131.550003,136.740005,418094,136.740005
136.970001,137.080002,133.460007,134.860001,262875,134.860001
134.410004,139.889999,132.839996,134.610001,291340,134.610001
133.600006,135.229996,132,134.009995,307170,134.009995
133.5,136.880005,131.820007,136.679993,225864,136.679993
136.089996,137.820007,131.479996,131.929993,194147,131.929993
132.059998,136.800003,131.190002,134.619995,278598,134.619995
134.800003,138.139999,134.050003,136.740005,248739,136.740005
137.25,138.75,135.899994,137,229371,137
137.070007,137.580002,131.949997,134.550003,290400,134.550003
134.520004,140.389999,133.679993,139.639999,295773,139.639999
139.440002,142.990005,138.610001,140.210007,277517,140.210007
140.600006,143.669998,139.169998,140,253428,140
140.179993,143.330002,139.949997,140.970001,238751,140.970001
141.440002,144.320007,140.009995,143.570007,253397,143.570007
NA,NA,NA,NA,NA,NA
144.270004,144.529999,139.520004,141.369995,304148,141.369995
141.589996,142.440002,135.139999,136.039993,382404,136.039993
136,138.279999,135.339996,136.050003,299142,136.050003
135.800003,142.130005,135.429993,141.649994,294339,141.649994
141.800003,147.270004,141.440002,145.080002,334940,145.080002
144.690002,146.369995,142.490005,145.179993,252605,145.179993
145.190002,146.729996,135.919998,138.740005,392225,138.740005
138.770004,139.300003,132.100006,134.600006,293858,134.600006
135.110001,136.75,129,129.289993,379076,129.289993
129.559998,132.039993,128.229996,128.880005,208698,128.880005
128.880005,132.050003,128.630005,131.039993,133661,131.039993
131.039993,132.070007,125.629997,127.949997,293435,127.949997
128.5,128.699997,124.120003,124.440002,293200,124.440002
124.459999,126.440002,123.519997,125.489998,267709,125.489998
125.599998,126.510002,122.5,123.260002,217950,123.260002
123.410004,125.220001,122.629997,124.730003,197074,124.730003
124.940002,125.849998,120.419998,122.190002,263546,122.190002
121.900002,127.389999,120.800003,126.769997,309078,126.769997
126.900002,127.889999,122.709999,124.080002,280832,124.080002
124.059998,128.600006,122.099998,125.099998,277311,125.099998
125.980003,126.349998,119.5,121.410004,294048,121.410004
121,121.230003,118,119.169998,316589,119.169998
118.75,120.489998,117.110001,118.580002,307994,118.580002
118.800003,121.779999,117.910004,120.019997,304204,120.019997
119.900002,120.080002,114.620003,115.199997,297330,115.199997
115.199997,116.900002,112.720001,114.449997,295334,114.449997
114.529999,115.949997,112.309998,113.010002,303791,113.010002
113.089996,117.459999,112.870003,116,322967,116
116.389999,117.419998,112.589996,115.010002,268197,115.010002
114.830002,115.199997,111.339996,113.769997,276806,113.769997
113.940002,115.349998,112,112.870003,178631,112.870003
113.110001,116.650002,111.639999,114.529999,149293,114.529999
115.110001,117.029999,112.610001,114.980003,274859,114.980003
115.860001,122.040001,115.400002,121.18,308114,121.18
121.550003,121.860001,114.18,114.589996,276216,114.589996
114.690002,116.059998,113.68,115.110001,174446,115.110001
115.5,117.889999,112.360001,116.269997,311866,116.269997
116.040001,119.629997,115.639999,118.150002,265812,118.150002
118.160004,120.5,114.080002,115.589996,272322,115.589996
115.75,118.760002,115,115.459999,216481,115.459999
116.650002,118.599998,105.459999,109.709999,389706,109.709999
110.239998,110.300003,107.220001,109.349998,247584,109.349998
109.400002,110.599998,106.519997,107.889999,264187,107.889999
107.480003,108.099998,105.129997,106.230003,249111,106.230003
107.75,109.889999,104.699997,106.339996,317923,106.339996
106.660004,106.769997,101.739998,103.260002,332463,103.260002
102.199997,104.970001,101.360001,102.580002,331516,102.580002
102.779999,103.949997,100.18,100.870003,311505,100.870003
101.150002,102.889999,99.989998,101.18,273124,101.18
101,101.190002,94,95.709999,334900,95.709999
94.230003,94.32,90.510002,91.150002,327157,91.150002
92.809998,97.629997,91.360001,97.160004,343691,97.160004
97.099998,102.239998,95.730003,97.879997,243360,97.879997
97.949997,105.25,97.389999,104.550003,184766,104.550003
104.970001,130,103.349998,120.919998,335101,120.919998
108.980003,109.580002,104.050003,106.610001,316025,106.610001
106.93,109.5,104.800003,105.730003,233417,105.730003
105.529999,108.669998,103.220001,108.019997,245163,108.019997
107.699997,108.110001,104.25,106.889999,168454,106.889999
106.889999,106.910004,95.040001,96.370003,248522,96.370003
95.400002,102.459999,93.360001,100.639999,252741,100.639999
101.860001,102.839996,95.970001,98.529999,280295,98.529999
98.730003,100.370003,93.559998,93.970001,223270,93.970001
93.849998,96.029999,91.300003,93.879997,238984,93.879997
92.5,92.68,87.559998,87.809998,281987,87.809998
88.959999,93.019997,87.870003,90.059998,342917,90.059998
89.559998,90.989998,86.050003,88.949997,339344,88.949997
88.800003,89.82,84.190002,86.589996,248211,86.589996
84.93,85.129997,77.089996,77.699997,363996,77.699997
80.120003,82.519997,79.449997,81.190002,210714,81.190002
82,84.830002,78.309998,78.629997,266143,78.629997
78.75,79.169998,73.550003,74.540001,221136,74.540001
73.599998,74.5,68.57,69.849998,283094,69.849998
72.300003,74.300003,69.839996,71.849998,141907,71.849998
72.160004,76.129997,71.769997,74.25,137299,74.25
75.620003,75.690002,69.769997,70.889999,232994,70.889999
71.470001,71.800003,66.199997,66.75,272317,66.75
67.209999,69.419998,65.900002,67.839996,256890,67.839996
69.419998,69.5,62.650002,64.150002,253812,64.150002
64.779999,65.769997,61.299999,63.220001,234150,63.220001
62.240002,65.199997,61.610001,62.73,222083,62.73
64.5,69.239998,63.650002,67.5,315415,67.5
68.110001,70.599998,64.040001,65.959999,279196,65.959999
65.580002,68.599998,63.119999,67.809998,256881,67.809998
67.370003,69.190002,63.630001,63.91,236426,63.91
63.799999,71.769997,62.25,70.529999,329187,70.529999
70,70.459999,65,65.300003,272470,65.300003
65.019997,65.5,60.16,60.77,292018,60.77
60.669998,62.82,59.970001,61.040001,236045,61.040001
61.799999,65.559998,59.099998,62.41,286648,62.41
62.139999,62.279999,58.32,59.330002,258306,59.330002
59,59.5,55.5,56.16,261423,56.16
55.439999,59.66,54.669998,58.240002,322685,58.240002
59.389999,59.959999,55.689999,57.040001,245858,57.040001
56.740002,58.98,54.720001,54.950001,337536,54.950001
55.009998,55.98,53.959999,54.389999,189689,54.389999
54.700001,55.34,52.790001,53.619999,161384,53.619999
50.400002,50.450001,48.5,49.619999,274669,49.619999
48.57,51.119999,48.25,49.93,213647,49.93
50.970001,55.299999,48.799999,54.5,233065,54.5
54.299999,54.66,50.52,50.77,228413,50.77
50.650002,54.970001,50.150002,54.439999,243440,54.439999
NA,NA,NA,NA,NA,NA
54.619999,54.619999,48.619999,49.279999,217048,49.279999
48.849998,50.25,46.82,46.959999,233248,46.959999
47.759998,48.099998,46.259998,46.790001,217573,46.790001
47,47.27,43.360001,43.669998,232447,43.669998
43.779999,44.470001,40.5,40.810001,327140,40.810001
41.639999,44.700001,41.549999,43.709999,289529,43.709999
44.049999,44.57,41.830002,42.07,240867,42.07
42.400002,46.169998,41.889999,43.52,362393,43.52
44.049999,49.119999,43.279999,47.98,317267,47.98
47,47.509998,43.32,46.279999,291629,46.279999
46.77,50.049999,44.099998,44.509998,256308,44.509998
44.950001,46.529999,42.560001,43.599998,259901,43.599998
43.75,45.5,39.880001,40.060001,174258,40.060001
40.32,40.900002,35.98,36.220001,95999,36.220001
34.759998,37.5,32.400002,33.869999,194858,33.869999
42.790001,43.439999,39.5,39.91,149135,39.91
39.549999,40.650002,37.790001,38.98,146203,38.98
NA,NA,NA,NA,NA,NA
35.700001,38.029999,35.599998,37.709999,64554,37.709999
38.400002,42.200001,37.529999,40.02,150601,40.02
40.009998,40.389999,37.93,39.029999,137263,39.029999
NA,NA,NA,NA,NA,NA
43.720001,46.740002,41.049999,46.34,184679,46.34
47.040001,49.279999,45.560001,48.810001,258762,48.810001
48.400002,50.470001,47.599998,48.580002,331307,48.580002
48.41,49.09,42.41,42.630001,306262,42.630001
42.630001,43.630001,40.540001,41.700001,312485,41.700001
42.450001,42.700001,39.380001,40.830002,277431,40.830002
40.549999,40.799999,37.48,37.59,272828,37.59
37.490002,39.5,36.099998,37.779999,340615,37.779999
38.720001,39.450001,35.52,37.279999,311078,37.279999
